Wed, 31 Aug 11 17:41:44 -0500: [SECURITY   (              feedme)] - Access violation: user   attempted to access the feedme function
Wed, 31 Aug 11 17:41:45 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 17:41:45 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 17:41:45 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 17:41:45 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - feeds partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Wed, 31 Aug 11 17:41:45 -0500: [DEBUG      (             include)] - UUID: Null
Thu, 01 Sep 11 05:48:04 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Thu, 01 Sep 11 05:48:04 -0500: [INFO       (         __construct)] - splash Controller Loaded
Thu, 01 Sep 11 05:48:04 -0500: [INFO       (               index)] - Entering index
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (               index)] - UUID: Null
Thu, 01 Sep 11 05:48:04 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - webstats partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - header partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - interface partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - control partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - feeds partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - footer partial view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Thu, 01 Sep 11 05:48:04 -0500: [DEBUG      (             include)] - UUID: Null
Thu, 01 Sep 11 06:24:19 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Thu, 01 Sep 11 06:24:19 -0500: [INFO       (         __construct)] - splash Controller Loaded
Thu, 01 Sep 11 06:24:19 -0500: [INFO       (               index)] - Entering index
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (               index)] - UUID: Null
Thu, 01 Sep 11 06:24:19 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - webstats partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - header partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - interface partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - control partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - feeds partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - footer partial view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Thu, 01 Sep 11 06:24:19 -0500: [DEBUG      (             include)] - UUID: Null
